point_label,beta_e_phys,gamma_exch_phys,gamma_drain_phys,surface_name,t,T_proxy,capture_fraction,Li7_over_H,Be7_over_H,Li_total_over_H
best_overall,1.0,1.09,0.64,S_BBN,0.0,1.0,0.0,1.300339366515837e-10,0.0,1.300339366515837e-10
best_overall,1.0,1.09,0.64,S_BBN,0.25,0.8935973471085157,0.09516258196404048,1.300339366515837e-10,0.0,1.300339366515837e-10
best_overall,1.0,1.09,0.64,S_BBN,0.5,0.7985162187593771,0.18126924692201818,1.300339366515837e-10,0.0,1.300339366515837e-10
best_overall,1.0,1.09,0.64,S_BBN,1.0,0.6376281516217733,0.3296799539643607,1.300339366515837e-10,0.0,1.300339366515837e-10
best_overall,1.0,1.09,0.64,S_BBN,2.0,0.4065696597405991,0.5506710358827784,1.300339366515837e-10,0.0,1.300339366515837e-10
best_overall,1.0,1.09,0.64,S_BBN,4.0,0.16529888822158653,0.7981034820053446,1.300339366515837e-10,0.0,1.300339366515837e-10
best_overall,1.0,1.09,0.64,S_BBN,8.0,0.02732372244729256,0.9592377960216338,1.300339366515837e-10,0.0,1.300339366515837e-10
best_overall,1.0,1.09,0.64,S_capture,0.0,1.0,0.0,1.300339366515837e-10,0.0,1.300339366515837e-10
best_overall,1.0,1.09,0.64,S_capture,0.25,0.8935973471085157,0.09516258196404048,1.300339366515837e-10,0.0,1.300339366515837e-10
best_overall,1.0,1.09,0.64,S_capture,0.5,0.7985162187593771,0.18126924692201818,1.300339366515837e-10,0.0,1.300339366515837e-10
best_overall,1.0,1.09,0.64,S_capture,1.0,0.6376281516217733,0.3296799539643607,1.300339366515837e-10,0.0,1.300339366515837e-10
best_overall,1.0,1.09,0.64,S_capture,2.0,0.4065696597405991,0.5506710358827784,1.300339366515837e-10,0.0,1.300339366515837e-10
best_overall,1.0,1.09,0.64,S_capture,4.0,0.16529888822158653,0.7981034820053446,1.300339366515837e-10,0.0,1.300339366515837e-10
best_overall,1.0,1.09,0.64,S_capture,8.0,0.02732372244729256,0.9592377960216338,1.300339366515837e-10,0.0,1.300339366515837e-10
best_overall,1.0,1.09,0.64,S_proxy_obs,0.0,1.0,0.0,1.300339366515837e-10,0.0,1.300339366515837e-10
best_overall,1.0,1.09,0.64,S_proxy_obs,0.25,0.8935973471085157,0.09516258196404048,1.300339366515837e-10,0.0,1.300339366515837e-10
best_overall,1.0,1.09,0.64,S_proxy_obs,0.5,0.7985162187593771,0.18126924692201818,1.300339366515837e-10,0.0,1.300339366515837e-10
best_overall,1.0,1.09,0.64,S_proxy_obs,1.0,0.6376281516217733,0.3296799539643607,1.300339366515837e-10,0.0,1.300339366515837e-10
best_overall,1.0,1.09,0.64,S_proxy_obs,2.0,0.4065696597405991,0.5506710358827784,1.300339366515837e-10,0.0,1.300339366515837e-10
best_overall,1.0,1.09,0.64,S_proxy_obs,4.0,0.16529888822158653,0.7981034820053446,1.300339366515837e-10,0.0,1.300339366515837e-10
best_overall,1.0,1.09,0.64,S_proxy_obs,8.0,0.02732372244729256,0.9592377960216338,1.300339366515837e-10,0.0,1.300339366515837e-10
best_accepted,1.0,1.09,0.64,S_BBN,0.0,1.0,0.0,1.300339366515837e-10,0.0,1.300339366515837e-10
best_accepted,1.0,1.09,0.64,S_BBN,0.25,0.8935973471085157,0.09516258196404048,1.300339366515837e-10,0.0,1.300339366515837e-10
best_accepted,1.0,1.09,0.64,S_BBN,0.5,0.7985162187593771,0.18126924692201818,1.300339366515837e-10,0.0,1.300339366515837e-10
best_accepted,1.0,1.09,0.64,S_BBN,1.0,0.6376281516217733,0.3296799539643607,1.300339366515837e-10,0.0,1.300339366515837e-10
best_accepted,1.0,1.09,0.64,S_BBN,2.0,0.4065696597405991,0.5506710358827784,1.300339366515837e-10,0.0,1.300339366515837e-10
best_accepted,1.0,1.09,0.64,S_BBN,4.0,0.16529888822158653,0.7981034820053446,1.300339366515837e-10,0.0,1.300339366515837e-10
best_accepted,1.0,1.09,0.64,S_BBN,8.0,0.02732372244729256,0.9592377960216338,1.300339366515837e-10,0.0,1.300339366515837e-10
best_accepted,1.0,1.09,0.64,S_capture,0.0,1.0,0.0,1.300339366515837e-10,0.0,1.300339366515837e-10
best_accepted,1.0,1.09,0.64,S_capture,0.25,0.8935973471085157,0.09516258196404048,1.300339366515837e-10,0.0,1.300339366515837e-10
best_accepted,1.0,1.09,0.64,S_capture,0.5,0.7985162187593771,0.18126924692201818,1.300339366515837e-10,0.0,1.300339366515837e-10
best_accepted,1.0,1.09,0.64,S_capture,1.0,0.6376281516217733,0.3296799539643607,1.300339366515837e-10,0.0,1.300339366515837e-10
best_accepted,1.0,1.09,0.64,S_capture,2.0,0.4065696597405991,0.5506710358827784,1.300339366515837e-10,0.0,1.300339366515837e-10
best_accepted,1.0,1.09,0.64,S_capture,4.0,0.16529888822158653,0.7981034820053446,1.300339366515837e-10,0.0,1.300339366515837e-10
best_accepted,1.0,1.09,0.64,S_capture,8.0,0.02732372244729256,0.9592377960216338,1.300339366515837e-10,0.0,1.300339366515837e-10
best_accepted,1.0,1.09,0.64,S_proxy_obs,0.0,1.0,0.0,1.300339366515837e-10,0.0,1.300339366515837e-10
best_accepted,1.0,1.09,0.64,S_proxy_obs,0.25,0.8935973471085157,0.09516258196404048,1.300339366515837e-10,0.0,1.300339366515837e-10
best_accepted,1.0,1.09,0.64,S_proxy_obs,0.5,0.7985162187593771,0.18126924692201818,1.300339366515837e-10,0.0,1.300339366515837e-10
best_accepted,1.0,1.09,0.64,S_proxy_obs,1.0,0.6376281516217733,0.3296799539643607,1.300339366515837e-10,0.0,1.300339366515837e-10
best_accepted,1.0,1.09,0.64,S_proxy_obs,2.0,0.4065696597405991,0.5506710358827784,1.300339366515837e-10,0.0,1.300339366515837e-10
best_accepted,1.0,1.09,0.64,S_proxy_obs,4.0,0.16529888822158653,0.7981034820053446,1.300339366515837e-10,0.0,1.300339366515837e-10
best_accepted,1.0,1.09,0.64,S_proxy_obs,8.0,0.02732372244729256,0.9592377960216338,1.300339366515837e-10,0.0,1.300339366515837e-10
