z,transition,g_z,f_photon_z,tau_z,d_std,d_eff,v_info_z,v_eff_z,z_model,redshift_residual,speed_ratio,tau_over_tau0,distance_suppression
0.0,0.05340332979982423,1.0096125993639684,1.0128167991519579,1.0096125993639684,0.0,0.0,0.0,0.0,0.02255260127130243,0.02255260127130243,0.0,1.0096125993639684,0.0
0.23,0.19193278644723683,1.0345479015605026,1.046063868747337,1.0345479015605026,0.14845879298831596,0.14511647975017222,0.14027043071788156,0.14673182942760246,0.0822031803108183,-0.1477968196891817,0.9883673878390657,1.0345479015605026,0.9774865929402593
0.46,0.5,1.09,1.12,1.09,0.27904193604302047,0.2632471094745476,0.24151110960967667,0.2704924427628379,0.2208000000000001,-0.2391999999999999,0.9693612601696382,1.09,0.9433962264150944
0.69,0.8080672135527631,1.1454520984394974,1.193936131252663,1.1454520984394974,0.39274652739544375,0.3580291347599064,0.31256578537650426,0.3731835845543737,0.36759664694609806,-0.3224033530539019,0.950189393218052,1.1454520984394974,0.9116035656234294
1.0,0.9669140216112958,1.1740445238900332,1.232059365186711,1.1740445238900332,0.5228449892532965,0.4684866338306918,0.3990365137758375,0.49163667384897664,0.4464925508048889,-0.5535074491951111,0.9403105776171057,1.1740445238900332,0.8960335155927632
2.0,0.9999339478551454,1.1799881106139263,1.2399841474852349,1.1799881106139263,0.8165230869608034,0.7290436299538013,0.6178398099066381,0.7661115699695222,0.46316655138232243,-1.5368334486176776,0.9382607573547995,1.1799881106139263,0.8928634616657184
3.0,0.9999998724809571,1.1799999770465723,1.2399999693954298,1.1799999770465723,1.0,0.892857155056031,0.7566586206982542,0.9382566665086233,0.46319993542435745,-2.5368000645756426,0.9382566665086233,1.1799999770465723,0.892857155056031
