z,transition,g_z,f_photon_z,tau_z,d_std,d_eff,v_info_z,v_eff_z,z_model,redshift_residual,speed_ratio,tau_over_tau0,distance_suppression
0.0,0.05340332979982423,1.0096125993639684,0.9904789229353673,1.0096125993639684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0096125993639684,0.0
0.23,0.19193278644723683,1.0345479015605026,1.188925131590987,1.0345479015605026,0.14845879298831596,0.0959194128826573,0.09271626063710858,0.11023269237859858,0.22999999999999998,-2.7755575615628914e-17,0.7425137316539691,1.0345479015605026,0.6461012578096763
0.46,0.5,1.09,1.3394495412844036,1.09,0.27904193604302047,0.1234974242233757,0.11330038919575752,0.1517601543356018,0.45999999999999996,-5.551115123125783e-17,0.5438614585594211,1.09,0.4425765745989372
0.69,0.8080672135527631,1.1454520984394974,1.4753999772686832,1.1454520984394974,0.39274652739544375,0.12535595208847955,0.10943796974073189,0.16146477806780668,0.69,0.0,0.41111701009448526,1.1454520984394974,0.31917774784616415
1.0,0.9669140216112958,1.1740445238900332,1.703512907136842,1.1740445238900332,0.5228449892532965,0.11712165845767294,0.09975912844395937,0.16994096290900684,1.0,0.0,0.3250312547734441,1.1740445238900332,0.2240083788981908
2.0,0.9999339478551454,1.1799881106139263,2.542398497929911,1.1799881106139263,0.8165230869608034,0.08100484777264459,0.06864886776740424,0.17453277829643762,2.0,0.0,0.21375118607615798,1.1799881106139263,0.09920705129619092
3.0,0.9999998724809571,1.1799999770465723,3.389830574413755,1.1799999770465723,1.0,0.05580357219100194,0.047291163793640886,0.16030903292729268,3.0,0.0,0.16030903292729268,1.1799999770465723,0.05580357219100194
