z,transition,g_z,f_photon_z,tau_z,d_std,d_eff,v_info_z,v_eff_z,z_model,redshift_residual,speed_ratio,tau_over_tau0,distance_suppression
0.0,0.05340332979982423,1.0096125993639684,0.9904789229353673,1.0096125993639684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0096125993639684,0.0
0.23,0.19193278644723683,1.0345479015605026,1.188925131590987,1.0345479015605026,0.14845879298831596,0.08156210194470542,0.07883840064020031,0.0937329558555731,0.22999999999999998,-2.7755575615628914e-17,0.6313735547004622,1.0345479015605026,0.5493921936380323
0.46,0.5,1.09,1.3394495412844036,1.09,0.27904193604302047,0.08494427276804276,0.07793052547526857,0.10438400659990102,0.45999999999999996,-5.551115123125783e-17,0.37407999700735994,1.09,0.30441400304414
0.69,0.8080672135527631,1.1454520984394974,1.4753999772686832,1.1454520984394974,0.39274652739544375,0.07694750500681363,0.06717653676800872,0.09911226082050893,0.69,0.0,0.2523568100723549,1.1454520984394974,0.19592154134907902
1.0,0.9669140216112958,1.1740445238900332,1.703512907136842,1.1740445238900332,0.5228449892532965,0.07650005501252748,0.06515941555525952,0.1109999054198777,1.0,0.0,0.21229983590050797,1.1740445238900332,0.1463149816579124
2.0,0.9999339478551454,1.1799881106139263,2.542398497929911,1.1799881106139263,0.8165230869608034,0.07776777261163477,0.06590555609172503,0.1675581868128372,2.0,0.0,0.20520936822069394,1.1799881106139263,0.09524258879328902
3.0,0.9999998724809571,1.1799999770465723,3.389830574413755,1.1799999770465723,1.0,0.07142857793464563,0.060532694342439367,0.2051955780336435,3.0,0.0,0.2051955780336435,1.1799999770465723,0.07142857793464563
