galaxy,source,q_flag,fit_status,n_points,vh_best,chi2_min,chi2_vh0,delta_chi2_vh0,vh_minus,vh_plus,vh_bs_p16,vh_bs_p50,vh_bs_p84,rho0_r0_1kpc
NGC3972,data/SPARC/Rotmod\NGC3972_rotmod.dat,1,ok,10,53.7,88.01924638767542,121.93919199765196,33.91994560997654,3.022960279125229,2.906967156691465,42.4256,53.69,62.224,53355396.63055816
NGC3992,data/SPARC/Rotmod\NGC3992_rotmod.dat,1,ok,9,148.02,45.37938145062557,74.8515568491003,29.472175398474732,3.5424734968368625,3.5006481631596387,139.34,147.43,154.7488,405387712.6480161
NGC4100,data/SPARC/Rotmod\NGC4100_rotmod.dat,1,ok,24,86.18,160.3694034378841,219.74860310159545,59.37919966371135,2.400291055217579,2.3520436959620525,80.8112,86.68,91.6976,137417727.0352018
NGC4183,data/SPARC/Rotmod\NGC4183_rotmod.dat,1,ok,23,73.64,71.79224572918739,204.2327376530756,132.4404919238882,1.6204653422904158,1.6164245678141924,70.97680000000001,73.55,76.16,100336128.80575362
NGC4559,data/SPARC/Rotmod\NGC4559_rotmod.dat,1,ok,32,61.28,355.99493779254567,473.16391667042734,117.16897887788167,1.6170348291379,1.57919509346587,56.4304,61.480000000000004,65.3856,69481197.44990017
NGC5033,data/SPARC/Rotmod\NGC5033_rotmod.dat,1,ok,22,138.3,925.0629156867981,1327.5916964373687,402.5287807505706,0.9468843364489032,0.9439913491308403,133.8968,138.74,142.8432,353894767.55790555
NGC5585,data/SPARC/Rotmod\NGC5585_rotmod.dat,1,ok,24,25.28,3765.2536951006236,4146.848758621301,381.59506352067774,0.6796369439175187,0.656891026657437,14.611440000000002,24.490000000000002,35.615199999999994,11824530.899653742
NGC5907,data/SPARC/Rotmod\NGC5907_rotmod.dat,1,ok,19,123.32,718.8533573383503,1028.666757469989,309.8134001316388,1.0562656529149734,1.0693117798854672,116.6872,123.78999999999999,129.45520000000002,281382324.74332774
NGC5985,data/SPARC/Rotmod\NGC5985_rotmod.dat,1,ok,33,196.52,136.3810819814244,378.2067508347182,241.82566885329382,1.2551882709004758,1.247515943941437,193.1368,196.43,199.42000000000002,714567553.4845785
NGC6503,data/SPARC/Rotmod\NGC6503_rotmod.dat,1,ok,31,86.34,2326.937031024083,5300.504280683938,2973.5672496598554,0.33858093830686187,0.3487478488190021,84.36399999999999,86.39,88.2032,137928454.50045383
NGC6674,data/SPARC/Rotmod\NGC6674_rotmod.dat,1,ok,15,181.4,342.9312632366885,814.1075040470682,471.17624081037974,0.8861170750266467,0.9021175180444914,175.9512,181.07999999999998,186.0328,608841639.465158
NGC7814,data/SPARC/Rotmod\NGC7814_rotmod.dat,1,ok,18,132.04,501.88095589789333,654.1454683423443,152.264512444451,1.5427198612047448,1.5472582877877414,126.4648,131.99,137.1232,322582506.87414336
UGC00128,data/SPARC/Rotmod\UGC00128_rotmod.dat,1,ok,22,109.64,834.076337733091,7729.3599614699815,6895.28362373689,0.24338521085554987,0.22906322454080907,108.09039999999999,109.8,111.2664,222416926.46436223
UGC00191,data/SPARC/Rotmod\UGC00191_rotmod.dat,1,ok,9,54.22,974.7470513330227,2087.8206584397267,1113.073607106704,0.5449750310435064,0.5534351541668912,44.0616,53.96,58.1832,54393725.81652208
UGC00731,data/SPARC/Rotmod\UGC00731_rotmod.dat,1,ok,12,53.54,188.58858513077857,655.1560039209545,466.5674187901759,0.8908016199143702,0.8739355322242162,49.6608,53.63,57.685599999999994,53037923.79625704
UGC01230,data/SPARC/Rotmod\UGC01230_rotmod.dat,1,ok,11,72.5,45.61303845775357,66.3756868827649,20.762648425011328,4.175712092494919,4.103106637774502,62.9536,72.39,82.1456,97253624.18962207
UGC01281,data/SPARC/Rotmod\UGC01281_rotmod.dat,1,ok,25,24.64,272.5793194723827,418.1686738888719,145.58935441648924,1.220306345140724,1.19967454535319,19.8168,24.93,29.6632,11233399.087333284
UGC02487,data/SPARC/Rotmod\UGC02487_rotmod.dat,1,ok,17,261.7,139.24367843408058,489.84265950342194,350.59898106934133,1.0699268978206646,1.0513385272929554,259.15040000000005,261.68,263.32,1267176839.37712
UGC02885,data/SPARC/Rotmod\UGC02885_rotmod.dat,1,ok,19,171.66,263.80838844633155,290.2517250487345,26.44333660240295,3.790445534193992,3.7569943984732106,154.5968,170.5,184.6344,545215253.5856395
UGC03205,data/SPARC/Rotmod\UGC03205_rotmod.dat,1,ok,48,129.06,1146.1221765733424,1616.604217059647,470.48204048630464,0.8783565988276507,0.8765059388077816,122.1112,128.76999999999998,133.4496,308186139.61569625
UGC03546,data/SPARC/Rotmod\UGC03546_rotmod.dat,1,ok,30,68.26,1321.4144939118542,1613.105213793528,291.6907198816739,1.0105065627408294,0.9986725235010852,60.7672,67.92,76.5264,86210933.79294227
