galaxy,source,q_flag,fit_status,n_points,rho0_best,r0_best,v_inf_best,chi2_min,chi2_red
UGC00891,data/SPARC/Rotmod\UGC00891_rotmod.dat,2,ok,5,10220881.945937147,3.724869921755537,87.54682622249184,2.173418283060785,0.7244727610202616
UGC01230,data/SPARC/Rotmod\UGC01230_rotmod.dat,1,ok,11,52766293.54284212,1.829035868014597,97.67549619882745,5.729914972111962,0.6366572191235513
UGC01281,data/SPARC/Rotmod\UGC01281_rotmod.dat,1,ok,25,18022455.152499966,2.623547241873178,81.88059219222485,6.294776988252889,0.27368595601099516
UGC02023,data/SPARC/Rotmod\UGC02023_rotmod.dat,2,boundary,5,4576106.50808175,1584.893192461114,24924.885468164794,1.5164342655658698,0.5054780885219566
UGC02259,data/SPARC/Rotmod\UGC02259_rotmod.dat,2,ok,8,303313313.0878623,0.6197581152457408,79.35112128544357,4.55828728729841,0.7597145478830684
UGC02455,data/SPARC/Rotmod\UGC02455_rotmod.dat,3,boundary,8,0.6309573444801932,0.001,5.839627019598481e-06,755.7110788807664,125.95184648012774
UGC02487,data/SPARC/Rotmod\UGC02487_rotmod.dat,1,ok,17,67973727.36409666,4.6654000414874774,282.7772983235178,66.40979481420904,4.427319654280603
UGC02885,data/SPARC/Rotmod\UGC02885_rotmod.dat,1,ok,19,1589993.4997733033,40.323252521113446,373.7991756907413,22.805007856400874,1.341471050376522
UGC02916,data/SPARC/Rotmod\UGC02916_rotmod.dat,2,boundary,43,0.6309573444801932,0.001,5.839627019598481e-06,10405.883490443974,253.80203635229205
UGC02953,data/SPARC/Rotmod\UGC02953_rotmod.dat,2,ok,115,3551301.926056501,23.927035221506397,331.4879887832258,8232.659309509061,72.85539211954921
UGC03205,data/SPARC/Rotmod\UGC03205_rotmod.dat,1,ok,48,3787804.859649404,17.692034507824403,253.13761594005487,174.86599087619047,3.80143458426501
UGC03546,data/SPARC/Rotmod\UGC03546_rotmod.dat,1,boundary,30,1434234.4668049666,1584.893192461114,13953.886523770176,739.6009275381527,26.414318840648313
UGC03580,data/SPARC/Rotmod\UGC03580_rotmod.dat,2,ok,47,3189487.6894554575,14.161560469248535,185.9330894601997,4657.263360395417,103.49474134212038
UGC04278,data/SPARC/Rotmod\UGC04278_rotmod.dat,1,ok,25,11089966.456625652,8.687381404640243,212.6861033322753,9.678845805960698,0.4208193828678564
UGC04305,data/SPARC/Rotmod\UGC04305_rotmod.dat,3,boundary,22,0.6309573444801932,0.001,5.839627019598481e-06,51.495040680854856,2.574752034042743
UGC04325,data/SPARC/Rotmod\UGC04325_rotmod.dat,1,ok,8,298160159.72831035,0.6657839682254358,84.51683961891726,7.672995930798502,1.2788326551330835
