galaxy,source,q_flag,fit_status,n_points,rho0_best,r0_best,v_inf_best,chi2_min,chi2_red
UGC07690,data/SPARC/Rotmod\UGC07690_rotmod.dat,2,ok,7,70979311.59387036,0.774263682681127,47.955661907852246,1.454866929139962,0.2909733858279924
UGC07866,data/SPARC/Rotmod\UGC07866_rotmod.dat,2,ok,7,25745283.256789736,0.8296384833371918,30.94730502416102,0.31700856010263556,0.0634017120205271
UGC08286,data/SPARC/Rotmod\UGC08286_rotmod.dat,1,ok,17,141763978.04598862,0.9308696887034212,81.48111137141774,13.527540197635673,0.9018360131757116
UGC08490,data/SPARC/Rotmod\UGC08490_rotmod.dat,1,ok,30,199939786.8603308,0.73941607658613,76.86411137026627,4.632773670706885,0.1654562025252459
UGC08550,data/SPARC/Rotmod\UGC08550_rotmod.dat,1,ok,11,84662272.67113838,0.862095852155658,58.3157178652854,3.5226947126477284,0.3914105236275254
UGC08699,data/SPARC/Rotmod\UGC08699_rotmod.dat,2,ok,41,6824117.744691505,11.629353057942051,223.33866751811442,471.3679245681443,12.086357040208828
UGC08837,data/SPARC/Rotmod\UGC08837_rotmod.dat,2,boundary,8,2939537.93904108,1584.893192461114,19976.741241570722,16.3114508419165,2.7185751403194165
UGC09037,data/SPARC/Rotmod\UGC09037_rotmod.dat,2,boundary,22,356425.6844412323,1584.893192461114,6956.160684588444,790.7647026847768,39.53823513423884
UGC09133,data/SPARC/Rotmod\UGC09133_rotmod.dat,1,ok,68,2291194.802804591,20.365209818432117,226.6235331031085,4927.301359571616,74.65608120563054
UGC09992,data/SPARC/Rotmod\UGC09992_rotmod.dat,2,ok,5,13890845539.708807,0.021434389143640698,18.57208067617493,0.026114010407126055,0.008704670135708685
UGC10310,data/SPARC/Rotmod\UGC10310_rotmod.dat,1,ok,7,48419829.49777211,1.2751332063284526,65.23073811962588,0.7008349089660278,0.14016698179320558
UGC11455,data/SPARC/Rotmod\UGC11455_rotmod.dat,1,boundary,36,520218.804259765,1584.893192461114,8403.846913843887,1291.8391957173678,37.99527046227553
UGC11557,data/SPARC/Rotmod\UGC11557_rotmod.dat,2,boundary,12,0.6309573444801932,0.001,5.839627019598481e-06,79.37975868717777,7.937975868717777
UGC11820,data/SPARC/Rotmod\UGC11820_rotmod.dat,1,ok,10,9582710.589785337,3.9004176328463434,88.764723892095,27.338735131123357,3.4173418913904197
UGC11914,data/SPARC/Rotmod\UGC11914_rotmod.dat,1,boundary,65,0.6309573444801932,0.001,5.839627019598481e-06,961.6180574240719,15.263778689270984
UGC12506,data/SPARC/Rotmod\UGC12506_rotmod.dat,2,ok,31,701280031.5819511,0.9356450215595894,182.1553607683563,9.161662728553326,0.3159194044328733
UGC12632,data/SPARC/Rotmod\UGC12632_rotmod.dat,1,ok,15,38728529.53251416,1.5058363542798403,68.89352255944553,1.2861495450524791,0.09893458038865224
UGC12732,data/SPARC/Rotmod\UGC12732_rotmod.dat,1,ok,16,28541242.018335007,2.2791755523244235,89.51572248852669,7.271521390934901,0.5193943850667787
UGCA281,data/SPARC/Rotmod\UGCA281_rotmod.dat,3,ok,7,80748001.59815031,0.4922913696391971,32.52169878316451,0.8444336068037408,0.16888672136074817
UGCA442,data/SPARC/Rotmod\UGCA442_rotmod.dat,1,ok,8,26875981.971109528,1.7467156935212218,66.57167773034011,4.872240155296037,0.8120400258826729
UGCA444,data/SPARC/Rotmod\UGCA444_rotmod.dat,2,ok,36,50766987.745791234,0.7225849118130786,37.84989646972769,6.338204159637442,0.18641776940110125
