galaxy,source,q_flag,fit_status,n_points,ml_star_best,rho0_best,r0_best,v_inf_best,chi2_min,chi2_red
CamB,data/SPARC/Rotmod\CamB_rotmod.dat,2,boundary,9,0.05,4960456.30576854,1584.893192461114,25950.51156771649,4.271322212801926,0.7118870354669876
D512-2,data/SPARC/Rotmod\D512-2_rotmod.dat,2,ok,4,1.275,19695703.65983237,1.1098471161392345,36.210457996336935,0.1467377310694215,0.1467377310694215
D564-8,data/SPARC/Rotmod\D564-8_rotmod.dat,2,ok,6,0.15000000000000002,14381411.951965604,1.1834717476879109,32.99466835724716,0.161660253089363,0.05388675102978766
D631-7,data/SPARC/Rotmod\D631-7_rotmod.dat,1,boundary,16,0.05,10875974.81859535,3.7018690558462066,89.75119891385674,5.116140874884261,0.3935492980680201
DDO064,data/SPARC/Rotmod\DDO064_rotmod.dat,1,ok,14,0.5416666666666665,46689731.24389138,1.2742749857031335,64.01164002386408,3.9529664396739155,0.3593605854249014
DDO154,data/SPARC/Rotmod\DDO154_rotmod.dat,2,ok,12,0.19999999999999996,27717119.330647238,1.489902657304766,57.66563117027159,20.877556235951037,2.3197284706612264
DDO161,data/SPARC/Rotmod\DDO161_rotmod.dat,1,ok,31,0.5166666666666666,5890990.1308559375,4.386370005779539,78.26805113880805,9.770907900519159,0.3489609964471128
DDO168,data/SPARC/Rotmod\DDO168_rotmod.dat,2,boundary,10,0.05,26551033.149107955,2.274270432889701,86.15250845612918,29.832199645362458,4.261742806480351
DDO170,data/SPARC/Rotmod\DDO170_rotmod.dat,2,ok,8,1.4666666666666666,9230634.4438503,2.835512583496653,63.333350563290104,9.131908778482357,1.8263817556964714
ESO079-G014,data/SPARC/Rotmod\ESO079-G014_rotmod.dat,1,ok,15,0.46666666666666656,30861338.511850692,4.722919315415163,192.8870250090509,16.435771213721967,1.3696476011434973
ESO116-G012,data/SPARC/Rotmod\ESO116-G012_rotmod.dat,1,ok,15,0.7333333333333332,41041325.06816306,2.659113299255666,125.23699502752036,12.273129075528063,1.0227607562940053
ESO444-G084,data/SPARC/Rotmod\ESO444-G084_rotmod.dat,2,ok,7,2.75,62090904.987477936,1.3972147377141548,80.93982520356448,1.1311247492978103,0.28278118732445257
ESO563-G021,data/SPARC/Rotmod\ESO563-G021_rotmod.dat,1,ok,30,0.5166666666666666,74323248.24505115,4.921588093881253,311.9268169381375,310.13176472095074,11.486361656331509
F561-1,data/SPARC/Rotmod\F561-1_rotmod.dat,3,boundary,6,0.05,39626410.37538181,1.0220536280540207,47.298912985207934,1.121639940307941,0.37387998010264695
F563-1,data/SPARC/Rotmod\F563-1_rotmod.dat,1,boundary,17,0.05,61252621.71031994,2.026945656882786,116.62443575544779,8.245916057111193,0.588994004079371
F563-V1,data/SPARC/Rotmod\F563-V1_rotmod.dat,3,ok,6,0.8833333333333333,27378180.358304746,0.17044291274531956,6.55641366524337,0.8151248888481473,0.27170829628271576
F563-V2,data/SPARC/Rotmod\F563-V2_rotmod.dat,1,ok,10,2.75,51577230.1189825,2.122472662669748,112.06144602749782,0.9964436841057503,0.14234909772939291
F565-V2,data/SPARC/Rotmod\F565-V2_rotmod.dat,2,ok,7,1.1,16811564.938222498,3.471573110201042,104.64428053019162,0.3851844809030726,0.09629612022576815
F567-2,data/SPARC/Rotmod\F567-2_rotmod.dat,3,ok,5,1.3083333333333333,4176908.5017739884,2.539433486180161,38.15482204859664,0.8950416403041108,0.4475208201520554
F568-1,data/SPARC/Rotmod\F568-1_rotmod.dat,1,boundary,12,0.05,90698053.03002077,2.171911402017426,152.0639252497658,1.171605845619696,0.13017842729107734
F568-3,data/SPARC/Rotmod\F568-3_rotmod.dat,1,boundary,18,0.05,24035036.373992074,3.7018690558462066,133.422340208038,15.493123986411504,1.0328749324274336
F568-V1,data/SPARC/Rotmod\F568-V1_rotmod.dat,1,ok,15,1.95,78030543.34908114,1.7023648032532803,110.552878889955,1.1793435403249024,0.09827862836040853
F571-8,data/SPARC/Rotmod\F571-8_rotmod.dat,1,ok,13,0.12000000000000001,47703990.22856999,3.4547852173557687,175.4217808915391,4.594992357735754,0.45949923577357543
F571-V1,data/SPARC/Rotmod\F571-V1_rotmod.dat,2,ok,7,1.0,11600272.556111747,3.788096663188395,94.85063848508166,0.38689156718223444,0.09672289179555861
F574-1,data/SPARC/Rotmod\F574-1_rotmod.dat,1,ok,14,0.25,66751036.73349614,1.7739744822207189,106.55197043549082,3.032705423217208,0.2757004930197462
F574-2,data/SPARC/Rotmod\F574-2_rotmod.dat,3,boundary,5,0.05,1879338.8387485144,3.68396749391333,37.12816140165515,0.10911585278943899,0.05455792639471949
F579-V1,data/SPARC/Rotmod\F579-V1_rotmod.dat,1,ok,14,0.08333333333333334,589057596.2024678,0.6394247961308971,114.09154556872134,0.4090308710250155,0.037184624638637774
F583-1,data/SPARC/Rotmod\F583-1_rotmod.dat,1,ok,25,0.3833333333333333,24035036.373992074,2.7078934948097912,97.59758696517622,8.209617552673611,0.3731644342124369
F583-4,data/SPARC/Rotmod\F583-4_rotmod.dat,1,ok,12,1.7666666666666666,2059736.68859071,242.2202936583368,2555.650657857046,1.4677041940722877,0.16307824378580973
IC2574,data/SPARC/Rotmod\IC2574_rotmod.dat,2,ok,34,0.875,2499261.5328296237,12.681128248508866,147.38349686471605,72.79103726344192,2.348097976240062
IC4202,data/SPARC/Rotmod\IC4202_rotmod.dat,1,boundary,32,0.05,290478841.48670506,2.171911402017426,272.1350409780695,256.59254243259454,8.848018704572226
KK98-251,data/SPARC/Rotmod\KK98-251_rotmod.dat,2,boundary,15,0.05,12641584.929598564,1.980806740760584,51.77593829017609,3.5856447582352238,0.2988037298529353
NGC0024,data/SPARC/Rotmod\NGC0024_rotmod.dat,1,ok,29,2.0749999999999997,7036039.101022947,8.625603161893158,168.2049240278416,8.572560700352634,0.32971387309048594
NGC0055,data/SPARC/Rotmod\NGC0055_rotmod.dat,2,boundary,21,0.05,17312967.00182111,3.2241931624271394,98.62611194295664,4.753128118028808,0.2640626732238227
NGC0100,data/SPARC/Rotmod\NGC0100_rotmod.dat,1,ok,21,0.315,34558485.960642,2.3814534962668836,102.92113533266067,1.5113147550085253,0.08396193083380696
NGC0247,data/SPARC/Rotmod\NGC0247_rotmod.dat,2,boundary,26,2.3166666666666664,791040.0519942994,1584.893192461114,10362.972507595063,42.532422161117886,1.8492357461355602
NGC0289,data/SPARC/Rotmod\NGC0289_rotmod.dat,2,ok,28,0.275,6593013567.556363,0.25891540726201195,154.55568661524958,49.283607461183294,1.9713442984473317
NGC0300,data/SPARC/Rotmod\NGC0300_rotmod.dat,2,boundary,25,0.05,82103434.21984886,1.5525751531049825,103.42330274215553,9.160883264402957,0.4164037847455889
NGC0801,data/SPARC/Rotmod\NGC0801_rotmod.dat,1,ok,13,0.6583333333333332,1661415.9347691631,23.075859961954897,218.66646787870854,56.53188163286476,5.653188163286476
NGC0891,data/SPARC/Rotmod\NGC0891_rotmod.dat,1,ok,18,0.08,526223796409.96564,0.03885739518570974,207.22590038412514,54.13440084685433,3.6089600564569553
NGC1003,data/SPARC/Rotmod\NGC1003_rotmod.dat,1,ok,36,0.8916666666666666,6101335.9182289895,6.884854028326127,125.02369048671842,81.15187243306227,2.4591476494867353
NGC1090,data/SPARC/Rotmod\NGC1090_rotmod.dat,1,ok,24,0.44999999999999996,57554783.54452502,2.6207225924284105,146.1661724181064,30.431989722827588,1.4491423677536948
NGC1705,data/SPARC/Rotmod\NGC1705_rotmod.dat,3,ok,14,0.3583333333333333,5787942034.006364,0.12619804630818787,70.58295354225713,0.7055882458491738,0.06414438598628852
NGC2366,data/SPARC/Rotmod\NGC2366_rotmod.dat,3,boundary,26,0.05,40168724.422094464,1.2228365780163397,56.97673395016749,18.07546871520468,0.7858899441393339
NGC2403,data/SPARC/Rotmod\NGC2403_rotmod.dat,1,ok,73,0.07500000000000001,614928225.010203,0.6977248813991129,127.19836636724959,850.2623694231588,12.146605277473697
NGC2683,data/SPARC/Rotmod\NGC2683_rotmod.dat,2,ok,11,0.6416666666666666,74583235.80637956,2.2037275179735816,139.91478671679644,9.161914377980452,1.1452392972475565
NGC2841,data/SPARC/Rotmod\NGC2841_rotmod.dat,1,ok,50,0.6083333333333333,994461069.3571355,1.0991390345802297,254.81889850027994,69.43989553165703,1.4774445857799368
NGC2903,data/SPARC/Rotmod\NGC2903_rotmod.dat,1,ok,34,0.29750000000000004,654436757.9179536,0.941204967268067,177.01218466189496,193.37275971927775,6.237830958686379
NGC2915,data/SPARC/Rotmod\NGC2915_rotmod.dat,2,boundary,30,0.05,229323117.52838084,0.8010953493868744,89.18529197669544,12.896665501815834,0.4776542778450309
NGC2955,data/SPARC/Rotmod\NGC2955_rotmod.dat,1,ok,24,0.21666666666666667,6124831531.594814,0.3857587532968174,221.94633229376703,48.095551425141984,2.29026435357819
NGC2976,data/SPARC/Rotmod\NGC2976_rotmod.dat,2,ok,27,0.41666666666666663,91939316.81600882,1.8241167512429095,128.58442793884385,7.2122549399128335,0.30051062249636806
NGC2998,data/SPARC/Rotmod\NGC2998_rotmod.dat,1,ok,13,0.26,2302224030.220987,0.537031796370253,189.434423531326,9.866906826265136,0.9866906826265136
NGC3109,data/SPARC/Rotmod\NGC3109_rotmod.dat,1,ok,25,1.3583333333333334,15218487.827750837,3.376144704807968,96.82598252805639,4.841631113970622,0.22007414154411917
NGC3198,data/SPARC/Rotmod\NGC3198_rotmod.dat,1,ok,43,0.5166666666666666,49126753.619746596,2.7575685403422776,142.09227190576044,49.7581488115937,1.2439537202898425
