galaxy,source,q_flag,fit_status,n_points,rho_s_best,r_s_best,v_scale_best,chi2_min,chi2_red
NGC4013,data/SPARC/Rotmod\NGC4013_rotmod.dat,2,boundary,36,11468.103576602998,1584.893192461114,548.37178242928,808.3563699089142,23.775187350262183
NGC4051,data/SPARC/Rotmod\NGC4051_rotmod.dat,2,boundary,7,0.6309573444801932,0.0031622776601683794,8.11576187406671e-06,104.7054435969878,20.941088719397563
NGC4068,data/SPARC/Rotmod\NGC4068_rotmod.dat,2,ok,6,3663.2428231588324,1560.9972597184067,305.2560570714202,10.258925441290936,2.564731360322734
NGC4085,data/SPARC/Rotmod\NGC4085_rotmod.dat,2,boundary,7,0.6309573444801932,0.0031622776601683794,8.11576187406671e-06,219.17822683601946,43.835645367203895
NGC4088,data/SPARC/Rotmod\NGC4088_rotmod.dat,1,boundary,12,0.6309573444801932,0.0031622776601683794,8.11576187406671e-06,619.0067617518001,61.90067617518001
NGC4100,data/SPARC/Rotmod\NGC4100_rotmod.dat,1,boundary,24,14532.827542082292,1584.893192461114,617.3114832348786,65.93948603811492,2.99724936536886
NGC4138,data/SPARC/Rotmod\NGC4138_rotmod.dat,2,ok,7,10747.309607980475,1563.7476378386064,523.7762989957454,15.653069911140898,3.1306139822281795
NGC4157,data/SPARC/Rotmod\NGC4157_rotmod.dat,1,boundary,17,3824.127592189072,1584.893192461114,316.66165912550275,342.0320839614283,22.80213893076189
NGC4183,data/SPARC/Rotmod\NGC4183_rotmod.dat,1,ok,23,3097094.3537718984,14.623831086738553,83.15103821534198,4.4829153882644555,0.21347216134592645
NGC4214,data/SPARC/Rotmod\NGC4214_rotmod.dat,2,ok,14,6713584.143685235,10.354702236415074,86.68503497446785,8.652780895182646,0.7210650745985538
NGC4217,data/SPARC/Rotmod\NGC4217_rotmod.dat,1,boundary,19,0.6309573444801932,0.0031622776601683794,8.11576187406671e-06,1595.2945838913843,93.84085787596378
NGC4389,data/SPARC/Rotmod\NGC4389_rotmod.dat,3,boundary,6,0.6309573444801932,0.0031622776601683794,8.11576187406671e-06,479.21468814459206,119.80367203614801
NGC4559,data/SPARC/Rotmod\NGC4559_rotmod.dat,1,boundary,32,8857.267481782155,1584.893192461114,481.92468917863,124.87163398522917,4.162387799507639
NGC5005,data/SPARC/Rotmod\NGC5005_rotmod.dat,1,boundary,18,0.6309573444801932,0.0031622776601683794,8.11576187406671e-06,251.4164593960225,15.713528712251406
NGC5033,data/SPARC/Rotmod\NGC5033_rotmod.dat,1,ok,22,1199876.8951947126,45.85550042588625,162.2889978579229,425.9051317137965,21.295256585689824
NGC5055,data/SPARC/Rotmod\NGC5055_rotmod.dat,1,boundary,28,4350.431893344547,1584.893192461114,337.75009736559934,90591.42472813228,3484.285566466626
NGC5371,data/SPARC/Rotmod\NGC5371_rotmod.dat,1,boundary,19,0.6309573444801932,0.0031622776601683794,8.11576187406671e-06,2412.5446249183096,141.91438970107703
NGC5585,data/SPARC/Rotmod\NGC5585_rotmod.dat,1,boundary,24,12497.551643187702,1584.893192461114,572.4555442266371,732.207345863434,33.28215208470155
NGC5907,data/SPARC/Rotmod\NGC5907_rotmod.dat,1,boundary,19,12231.834792671592,1584.893192461114,566.3372129015461,126.16503988987046,7.421472934698262
NGC5985,data/SPARC/Rotmod\NGC5985_rotmod.dat,1,ok,33,71798456.48236798,6.982914061855316,191.17167574457008,156.28300562020274,5.041387278071056
NGC6015,data/SPARC/Rotmod\NGC6015_rotmod.dat,2,ok,44,42561.48638975525,610.7076122215068,407.07180458925035,350.7831470669432,8.351979692070076
NGC6195,data/SPARC/Rotmod\NGC6195_rotmod.dat,1,boundary,23,0.6309573444801932,0.0031622776601683794,8.11576187406671e-06,1354.457591872274,64.49798056534638
NGC6503,data/SPARC/Rotmod\NGC6503_rotmod.dat,1,ok,31,700518.5890508154,45.41366419914844,122.8077210797937,701.4287153413816,24.187197080737295
NGC6674,data/SPARC/Rotmod\NGC6674_rotmod.dat,1,ok,15,400108.20546699484,108.81712506287626,222.39000907527654,59.011880295922104,4.539375407378623
NGC6789,data/SPARC/Rotmod\NGC6789_rotmod.dat,2,ok,4,62857.87749583009,1562.3718435626004,1265.5915183085742,4.205278660991553,2.1026393304957764
NGC6946,data/SPARC/Rotmod\NGC6946_rotmod.dat,1,boundary,58,0.6309573444801932,0.0031622776601683794,8.11576187406671e-06,5002.157013061194,89.32423237609275
NGC7331,data/SPARC/Rotmod\NGC7331_rotmod.dat,1,boundary,36,2595.067633491564,1584.893192461114,260.85768535160116,5769.642375102443,169.69536397360127
NGC7793,data/SPARC/Rotmod\NGC7793_rotmod.dat,1,boundary,46,7782.299018986255,1584.893192461114,451.7344924916844,76.95713727234514,1.7490258470987532
NGC7814,data/SPARC/Rotmod\NGC7814_rotmod.dat,1,boundary,18,34391.477918342396,1584.893192461114,949.6306328815264,157.98119525474542,9.873824703421588
PGC51017,data/SPARC/Rotmod\PGC51017_rotmod.dat,3,boundary,6,0.6309573444801932,0.0031622776601683794,8.11576187406671e-06,19.466892705464467,4.866723176366117
UGC00128,data/SPARC/Rotmod\UGC00128_rotmod.dat,1,ok,22,2662179.9611216956,20.865027442281875,109.99348469676761,68.93268252450142,3.446634126225071
UGC00191,data/SPARC/Rotmod\UGC00191_rotmod.dat,1,ok,9,2662179.9611216956,13.940105323166657,73.4875986037702,20.448303432846558,2.9211862046923653
UGC00634,data/SPARC/Rotmod\UGC00634_rotmod.dat,2,ok,4,1200407.0494335569,32.139094687559655,113.76985473608129,8.793172579025104,4.396586289512552
UGC00731,data/SPARC/Rotmod\UGC00731_rotmod.dat,1,ok,12,5302487.04722651,8.625411361174285,64.17249436450999,3.131636285783207,0.3131636285783207
UGC00891,data/SPARC/Rotmod\UGC00891_rotmod.dat,2,ok,5,65705.5293452536,268.0942267277416,222.03309708963545,14.936510225915216,4.9788367419717385
UGC01230,data/SPARC/Rotmod\UGC01230_rotmod.dat,1,ok,11,5535365.249699381,11.395354197717156,86.6224107209179,8.73074455707712,0.9700827285641245
UGC01281,data/SPARC/Rotmod\UGC01281_rotmod.dat,1,boundary,25,11717.229600246907,1584.893192461114,554.2960271686351,31.070218268477316,1.3508790551511876
UGC02023,data/SPARC/Rotmod\UGC02023_rotmod.dat,2,boundary,5,4350.431893344547,1584.893192461114,337.75009736559934,3.0072627770982816,1.0024209256994272
UGC02259,data/SPARC/Rotmod\UGC02259_rotmod.dat,2,ok,8,27224758.047750037,4.198447095404248,70.77827848590411,5.517956522458598,0.9196594204097663
UGC02455,data/SPARC/Rotmod\UGC02455_rotmod.dat,3,boundary,8,0.6309573444801932,0.0031622776601683794,8.11576187406671e-06,755.7110788807579,125.95184648012632
UGC02487,data/SPARC/Rotmod\UGC02487_rotmod.dat,1,ok,17,7160682.807207641,28.927771925347077,250.104495934554,61.6477023298657,4.109846821991047
UGC02885,data/SPARC/Rotmod\UGC02885_rotmod.dat,1,ok,19,18816.635249675728,1563.7476378386064,693.0537946171025,35.479785966944846,2.087046233349697
UGC02916,data/SPARC/Rotmod\UGC02916_rotmod.dat,2,boundary,43,0.6309573444801932,0.0031622776601683794,8.11576187406671e-06,10405.883490443955,253.8020363522916
UGC02953,data/SPARC/Rotmod\UGC02953_rotmod.dat,2,boundary,115,22841.983471909065,1584.893192461114,773.9202357096876,11061.213749542927,97.88684734108784
UGC03205,data/SPARC/Rotmod\UGC03205_rotmod.dat,1,boundary,48,19225.396252469014,1584.893192461114,710.0140548222483,196.90463467932497,4.280535536507065
UGC03546,data/SPARC/Rotmod\UGC03546_rotmod.dat,1,boundary,30,8857.267481782155,1584.893192461114,481.92468917863,949.3330869491955,33.90475310532841
UGC03580,data/SPARC/Rotmod\UGC03580_rotmod.dat,2,boundary,47,11468.103576602998,1584.893192461114,548.37178242928,5482.887689572669,121.84194865717042
UGC04278,data/SPARC/Rotmod\UGC04278_rotmod.dat,1,ok,25,17266.67175838925,1540.170523268297,653.8865732069902,49.41193004734306,2.14834478466709
UGC04305,data/SPARC/Rotmod\UGC04305_rotmod.dat,3,boundary,22,0.6309573444801932,0.0031622776601683794,8.11576187406671e-06,51.495040680848774,2.574752034042439
UGC04325,data/SPARC/Rotmod\UGC04325_rotmod.dat,1,ok,8,33781665.33305117,3.8875760603630853,73.00434730373061,13.5886698179339,2.2647783029889834
UGC04483,data/SPARC/Rotmod\UGC04483_rotmod.dat,2,ok,8,748161.2380918426,18.05724024226029,50.46360519181341,3.8918951885795208,0.6486491980965868
UGC04499,data/SPARC/Rotmod\UGC04499_rotmod.dat,1,ok,9,485701.3432520998,43.703868189082954,98.408775019358,11.394658272822946,1.6278083246889923
UGC05005,data/SPARC/Rotmod\UGC05005_rotmod.dat,1,ok,11,7616.8355710934975,1540.170523268297,434.2955639522339,3.2702764724717532,0.3633640524968615
UGC05253,data/SPARC/Rotmod\UGC05253_rotmod.dat,2,boundary,73,13329.840107498852,1584.893192461114,591.2099925914077,9145.711839477422,128.81284280954117
UGC05414,data/SPARC/Rotmod\UGC05414_rotmod.dat,1,boundary,6,9652.35071620174,1584.893192461114,503.0901827184812,9.595902368646525,2.3989755921616314
UGC05716,data/SPARC/Rotmod\UGC05716_rotmod.dat,2,ok,12,3092992.7134497855,11.8432513930319,67.29606837973047,23.321853576285342,2.3321853576285343
UGC05721,data/SPARC/Rotmod\UGC05721_rotmod.dat,1,ok,23,36031393.21293108,3.670108462174552,71.17848212945863,27.664839468782553,1.3173733080372645
UGC05750,data/SPARC/Rotmod\UGC05750_rotmod.dat,1,ok,11,105236.85620585289,107.78760131879515,112.97491832578828,7.198935240736082,0.7998816934151203
UGC05764,data/SPARC/Rotmod\UGC05764_rotmod.dat,2,ok,10,30366733.741458055,2.858355276034257,50.89141714038799,53.563994556041834,6.695499319505229
UGC05829,data/SPARC/Rotmod\UGC05829_rotmod.dat,2,ok,11,10518.805550378862,1501.9887046324873,497.7132194672465,0.6671471452376885,0.07412746058196538
UGC05918,data/SPARC/Rotmod\UGC05918_rotmod.dat,2,ok,8,3231686.742306245,7.256101747438094,42.145119350718936,0.739117926320305,0.12318632105338417
UGC05986,data/SPARC/Rotmod\UGC05986_rotmod.dat,2,boundary,15,29575.061709460802,1584.893192461114,880.6272611547071,66.14812342008827,5.088317186160636
UGC05999,data/SPARC/Rotmod\UGC05999_rotmod.dat,2,ok,5,50590.28736153888,364.94919993732253,265.2132911264692,9.409067551335877,3.1363558504452924
UGC06399,data/SPARC/Rotmod\UGC06399_rotmod.dat,1,ok,9,352014.9847035595,87.21603325448756,167.1884231273094,3.6720518772480704,0.5245788396068672
UGC06446,data/SPARC/Rotmod\UGC06446_rotmod.dat,1,ok,17,10790837.583480377,6.7200117215104855,71.3225569333664,3.053804255866864,0.20358695039112426
UGC06614,data/SPARC/Rotmod\UGC06614_rotmod.dat,1,boundary,13,9652.35071620174,1584.893192461114,503.0901827184812,97.85608857304864,8.89600805209533
UGC06628,data/SPARC/Rotmod\UGC06628_rotmod.dat,2,boundary,7,0.6309573444801932,0.0031622776601683794,8.11576187406671e-06,6.670312378891314,1.3340624757782629
UGC06667,data/SPARC/Rotmod\UGC06667_rotmod.dat,1,ok,9,2605577.988593585,19.508059309060776,101.74085933291535,8.94403044311981,1.2777186347314016
UGC06786,data/SPARC/Rotmod\UGC06786_rotmod.dat,1,ok,45,359344.32564683934,186.28740210579298,360.8013698578402,400.0604525936582,9.30373145566647
UGC06787,data/SPARC/Rotmod\UGC06787_rotmod.dat,2,ok,71,81242.66716069948,747.0218989273319,687.9465792481487,3590.5886260521042,52.03751631959572
UGC06818,data/SPARC/Rotmod\UGC06818_rotmod.dat,2,boundary,8,8124.087276176981,1584.893192461114,461.5476945704357,39.46055719638281,6.576759532730468
UGC06917,data/SPARC/Rotmod\UGC06917_rotmod.dat,1,ok,11,265859.55787146924,118.62030091318609,197.61251996240412,11.61604717160648,1.2906719079562756
UGC06923,data/SPARC/Rotmod\UGC06923_rotmod.dat,2,ok,6,12769.040763019517,1563.7476378386064,570.9197923968097,9.352724801382308,2.338181200345577
UGC06930,data/SPARC/Rotmod\UGC06930_rotmod.dat,1,ok,10,2239685.5620255135,17.555732720229646,84.887116466051,2.852359970291626,0.35654499628645325
UGC06973,data/SPARC/Rotmod\UGC06973_rotmod.dat,3,boundary,9,0.6309573444801932,0.0031622776601683794,8.11576187406671e-06,3515.092123754741,502.1560176792487
UGC06983,data/SPARC/Rotmod\UGC06983_rotmod.dat,1,ok,17,4460969.527205305,13.942559536021866,95.1451010680533,10.813988552179362,0.7209325701452908
UGC07089,data/SPARC/Rotmod\UGC07089_rotmod.dat,2,ok,12,6141.145689329677,1540.170523268297,389.96246182592284,10.6152907018649,1.0615290701864901
UGC07125,data/SPARC/Rotmod\UGC07125_rotmod.dat,1,ok,13,176421.51968781996,43.7115624347608,59.3200359416182,13.540017113613496,1.230910646692136
