galaxy,source,q_flag,fit_status,n_points,rho_s_best,r_s_best,v_scale_best,chi2_min,chi2_red
F561-1,data/SPARC/Rotmod\F561-1_rotmod.dat,3,boundary,6,0.666806769213622,0.0031622776601683794,8.343135478254029e-06,3.7273968873166696,0.9318492218291674
F563-1,data/SPARC/Rotmod\F563-1_rotmod.dat,1,ok,17,2494856.4584565233,21.068026366910633,107.51670115662499,16.02560331315657,1.068373554210438
F563-V1,data/SPARC/Rotmod\F563-V1_rotmod.dat,3,ok,6,219895239.44583762,0.09279138248500729,4.445748132934934,0.8563796015298901,0.21409490038247253
F563-V2,data/SPARC/Rotmod\F563-V2_rotmod.dat,1,ok,10,2239685.5620255135,32.45749394207766,156.94150237787684,8.367195672018976,1.045899459002372
F565-V2,data/SPARC/Rotmod\F565-V2_rotmod.dat,2,ok,7,17657.355443442582,1443.3293512148934,619.6658590069793,1.9234443852108867,0.38468887704217736
F567-2,data/SPARC/Rotmod\F567-2_rotmod.dat,3,ok,5,850377.0105837372,12.78579770314599,38.09455282792853,1.2268260100476798,0.4089420033492266
F568-1,data/SPARC/Rotmod\F568-1_rotmod.dat,1,ok,12,1395281.6109464886,49.51363041597967,188.96657941090447,8.4286230223956,0.84286230223956
F568-3,data/SPARC/Rotmod\F568-3_rotmod.dat,1,boundary,18,12231.834792671592,1584.893192461114,566.3372129015461,49.9803487780144,3.1237717986259
F568-V1,data/SPARC/Rotmod\F568-V1_rotmod.dat,1,ok,15,13680611.674734088,8.707796215184825,104.06155481076794,2.534306656319866,0.19494666587075893
F571-8,data/SPARC/Rotmod\F571-8_rotmod.dat,1,ok,13,24892.421503362777,1563.7476378386064,797.1307002866912,649.2819575599332,59.02563250544847
F571-V1,data/SPARC/Rotmod\F571-V1_rotmod.dat,2,ok,7,577069.0969983885,40.861563926836794,100.29012888256962,1.6352087897547372,0.3270417579509474
F574-1,data/SPARC/Rotmod\F574-1_rotmod.dat,1,ok,14,2099844.090415556,20.274828371167885,94.92486923956231,18.48588117029098,1.5404900975242484
F574-2,data/SPARC/Rotmod\F574-2_rotmod.dat,3,boundary,5,0.6309573444801932,0.0031622776601683794,8.11576187406671e-06,3.3569881462025997,1.1189960487341999
F579-V1,data/SPARC/Rotmod\F579-V1_rotmod.dat,1,ok,14,49781129.72585777,3.5656661058931256,81.28349008457819,2.265417172003386,0.1887847643336155
F583-1,data/SPARC/Rotmod\F583-1_rotmod.dat,1,ok,25,715420.1221168856,38.21083642146983,104.42306003649664,36.28140703451688,1.5774524797616036
