delta_em,D_over_H,Y_p,Li7_over_H,Be7_over_H,D_z,Y_z,Li_z,passes_D,passes_Y,passes_Li,passes_all
-0.02,2.688781251406801e-05,0.24609,1.5823428913294895e-11,1.53065144715146e-11,5.392708380226695,0.04226804123711275,4.586341002796939,False,True,False,False
-0.0199,2.6875312587707078e-05,0.246095,1.6102776077831202e-11,1.5561167066801165e-11,5.351041959023592,0.04175257731958646,4.577329803940928,False,True,False,False
-0.0198,2.686281847246072e-05,0.2461,1.6387054843397993e-11,1.5820056285938757e-11,5.309394908202398,0.041237113402060176,4.56815952118071,False,True,False,False
-0.0197,2.6850330165627387e-05,0.246105,1.66763522725891e-11,1.6083252613116394e-11,5.267767218757958,0.04072164948453675,4.558827346045512,False,True,False,False
-0.0196,2.6837847664506798e-05,0.24611,1.6970756965003298e-11,1.6350827705159814e-11,5.226158881689325,0.04020618556701046,4.549330420483765,False,True,False,False
-0.0195,2.6825370966399927e-05,0.246115,1.7270359084378655e-11,1.6622854411040583e-11,5.184569887999757,0.039690721649484166,4.539665835987785,False,True,False,False
-0.0194,2.6812900068608997e-05,0.24612,1.7575250386205888e-11,1.68994067917096e-11,5.143000228696654,0.03917525773195788,4.529830632703035,False,True,False,False
-0.0193,2.680043496843749e-05,0.246125,1.7885524245829147e-11,1.71805601402607e-11,5.1014498947916325,0.03865979381443159,4.51982179852164,False,True,False,False
-0.0192,2.6787975663190138e-05,0.24613000000000002,1.820127568704301e-11,1.7466391002429642e-11,5.0599188773004595,0.038144329896905305,4.509636268159903,False,True,False,False
-0.0191,2.6775522150172926e-05,0.246135,1.852260141119419e-11,1.775697719743413e-11,5.018407167243085,0.03762886597938188,4.499270922219542,False,True,False,False
-0.019,2.67630744266931e-05,0.24614,1.884959982679715e-11,1.8052397839160643e-11,4.976914755643671,0.03711340206185559,4.488722586232349,False,True,False,False
-0.0189,2.675063249005914e-05,0.246145,1.9182371079672412e-11,1.835273335770361e-11,4.935441633530465,0.0365979381443293,4.477988029687986,False,True,False,False
-0.0188,2.67381963375808e-05,0.24615,1.9521017083617087e-11,1.865806552126305e-11,4.8939877919359995,0.03608247422680301,4.467063965044609,False,True,False,False
-0.0187,2.6725765966569064e-05,0.246155,1.9865641551616654e-11,1.896847745840646e-11,4.85255322189688,0.03556701030927672,4.455947046722043,False,True,False,False
-0.0186,2.671334137433618e-05,0.24616000000000002,2.0216350027607998e-11,1.9284053680701044e-11,4.811137914453938,0.035051546391750434,4.444633870077161,False,True,False,False
-0.0185,2.6700922558195638e-05,0.246165,2.0573249918802945e-11,1.960488010572255e-11,4.769741860652125,0.03453608247422701,4.433120970361195,False,True,False,False
-0.0184,2.6688509515462183e-05,0.24617,2.0936450528582655e-11,1.9931044080446844e-11,4.728365051540609,0.034020618556700716,4.421404821658624,False,True,False,False
-0.0183,2.6676102243451796e-05,0.246175,2.1306063089972575e-11,2.0262634405030682e-11,4.687007478172654,0.03350515463917443,4.409481835807336,False,True,False,False
-0.0182,2.6663700739481725e-05,0.24618,2.168220079970848e-11,2.0599741356988063e-11,4.645669131605749,0.03298969072164814,4.397348361299726,False,True,False,False
-0.0181,2.6651305000870445e-05,0.24618500000000001,2.206497885290379e-11,2.094245671576888e-11,4.604350002901484,0.03247422680412185,4.385000682164393,False,True,False,False
-0.018,2.6638915024937698e-05,0.24619,2.245451447832906e-11,2.1290873787746442e-11,4.563050083125659,0.03195876288659842,4.372435016828094,False,True,False,False
-0.0179,2.6626530809004453e-05,0.246195,2.2850926974314083e-11,2.1645087431620632e-11,4.521769363348176,0.031443298969072137,4.35964751695761,False,True,False,False
-0.0178,2.661415235039294e-05,0.2462,2.3254337745284068e-11,2.200519408424391e-11,4.480507834643137,0.030927835051545845,4.346634266281159,False,True,False,False
-0.0177,2.660177964642662e-05,0.246205,2.3664870338940603e-11,2.2371291786876707e-11,4.439265488088733,0.030412371134019556,4.333391279389012,False,True,False,False
-0.0176,2.6589412694430207e-05,0.24621,2.4082650484099166e-11,2.2743480211879864e-11,4.398042314767355,0.029896907216493268,4.31991450051293,False,True,False,False
-0.0175,2.657705149172966e-05,0.24621500000000002,2.4507806129194498e-11,2.3121860689851006e-11,4.356838305765529,0.02938144329896698,4.3061998022840475,False,True,False,False
-0.0174,2.656469603565217e-05,0.24622,2.494046748146589e-11,2.3506536237212402e-11,4.315653452173904,0.028865979381443554,4.2922429844688414,False,True,False,False
