t_probe_us,P_up
3.6,0.9984370780996752
8.6,0.995089040664912
13.6,0.9889453499843528
18.6,0.9800683493479748
23.6,0.9685716395643732
28.6,0.9546175142619036
33.6,0.938411915479791
38.6,0.9201976190747756
43.6,0.9002464669591302
48.6,0.8788523061294873
53.6,0.8563259281801398
58.6,0.8329864194001376
63.6,0.8091520974077756
68.60000000000001,0.7851333165473919
73.60000000000001,0.7612275706255442
78.60000000000001,0.7377112389942704
83.60000000000001,0.7148332282267507
88.60000000000001,0.6928121256462607
93.60000000000001,0.6718343409655964
98.60000000000001,0.6520509396084697
103.6,0.6335762051416409
108.6,0.6164900016215757
113.6,0.6008387629950804
118.6,0.5866366486238639
123.6,0.5738696657580586
128.6,0.5624993199146892
133.6,0.5524664736219377
138.6,0.5436958901530018
143.6,0.5360995448303387
148.6,0.5295810211181223
153.6,0.5240396753538237
158.6,0.5193730631644933
163.6,0.5154797147263026
168.6,0.5122621983054527
173.6,0.5096286986338894
178.6,0.5074937212992229
183.6,0.5057795299336496
188.6,0.5044168599373813
193.6,0.5033442921658118
198.6,0.5025083462357673
203.6,0.5018635597459817
208.6,0.5013713912611852
213.6,0.5009995135161098
218.6,0.5007216567108674
223.6,0.5005165082347689
228.6,0.5003667340131114
233.6,0.5002588677456747
238.6,0.5001825638408597
243.6,0.5001295984690235
248.6,0.5000938591937639
253.6,0.5000710481604008
258.6,0.5000578235690765
263.6,0.5000518108179736
268.6,0.5000516719256158
273.6,0.5000564388031328
278.6,0.5000654847486078
283.6,0.5000788388606551
288.6,0.500096675885183
293.6,0.5001191796800544
298.6,0.5001470355830921
