t_probe_us_th_fit,P_down_th_fit,t_probe_us_ds_fit,P_down_ds_fit
3.6,0.9987818914330333,3.6,0.9697785677708674
7.681632653061223,0.986088648226096,6.151020408163266,0.9030049763676815
11.76326530612245,0.96496424483141,8.70204081632653,0.8190725229612427
15.84489795918367,0.936538863288223,11.2530612244898,0.733147193462976
19.9265306122449,0.9022773182691183,13.80408163265306,0.6572290410356408
24.00816326530612,0.8638542538281702,16.35510204081633,0.5978581784218487
28.08979591836734,0.8230194283718146,18.90612244897959,0.5562112544160254
32.17142857142856,0.781468053113773,21.45714285714286,0.52979965355418
36.25306122448979,0.7407292436602695,24.00816326530612,0.514580114717745
40.33469387755101,0.7020821113851319,26.55918367346939,0.5065837367168766
44.41632653061224,0.6665045736839357,29.11020408163265,0.5027437577059295
48.49795918367347,0.6346553898502196,31.66122448979592,0.5010553119295883
52.57959183673469,0.6068859429418283,34.21224489795918,0.5003746085849351
56.66122448979591,0.5832753988655172,36.76326530612245,0.5001227259471066
60.74285714285713,0.5636813303268795,39.31428571428572,0.5000371070856657
64.82448979591835,0.5477976792508307,41.86530612244898,0.5000103547373991
68.90612244897957,0.5352128171061575,44.41632653061225,0.5000026667550129
72.9877551020408,0.525462087646266,46.96734693877551,0.5000006338535674
77.06938775510201,0.5180711804993774,49.51836734693877,0.5000001390453744
81.15102040816325,0.5125886255633286,52.06938775510204,0.5000000281504888
85.23265306122447,0.5086073484666979,54.6204081632653,0.5000000052598956
89.31428571428569,0.5057764328951551,57.17142857142857,0.5000000009070477
93.39591836734692,0.5038049535261925,59.72244897959184,0.5000000001443593
97.47755102040814,0.5024600178483535,62.2734693877551,0.5000000000212041
101.5591836734694,0.5015610845904277,64.82448979591837,0.5000000000028745
105.6408163265306,0.5009723304639699,67.37551020408164,0.5000000000003596
109.7224489795918,0.5005944298721189,69.92653061224489,0.5000000000000415
113.804081632653,0.5003566864706964,72.47755102040816,0.5000000000000044
117.8857142857143,0.5002100738159957,75.02857142857142,0.5000000000000004
121.9673469387755,0.5001214385266757,77.57959183673469,0.5
126.0489795918367,0.5000689033491608,80.13061224489795,0.5
130.1306122448979,0.5000383727966076,82.68163265306121,0.5
134.2122448979592,0.500020975187353,85.23265306122448,0.5
138.2938775510204,0.5000112534976077,87.78367346938775,0.5
142.3755102040816,0.5000059260931607,90.33469387755102,0.5
146.4571428571428,0.5000030630120358,92.88571428571427,0.5
150.538775510204,0.5000015539184007,95.43673469387754,0.5
154.6204081632653,0.5000007737612792,97.98775510204081,0.5
158.7020408163265,0.5000003781682409,100.5387755102041,0.5
162.7836734693877,0.500000181410488,103.0897959183673,0.5
166.8653061224489,0.5000000854159561,105.6408163265306,0.5
170.9469387755102,0.500000039474342,108.1918367346939,0.5
175.0285714285714,0.5000000179056491,110.7428571428571,0.5
179.1102040816326,0.5000000079719491,113.2938775510204,0.5
183.1918367346939,0.5000000034836799,115.8448979591837,0.5
187.2734693877551,0.5000000014942086,118.3959183673469,0.5
191.3551020408163,0.5000000006290476,120.9469387755102,0.5
195.4367346938775,0.5000000002599292,123.4979591836735,0.5
199.5183673469387,0.5000000001054207,126.0489795918367,0.5
203.6,0.5000000000419659,128.6,0.5
