t_sqz_us,$\Delta$ = 50 kHz,$\Delta$ = 100 kHz,eta^2
0,0,0,0
10.1010101010101,0.02829262601351268,0.013931224973162,0.01030262925689081
20.2020202020202,0.05658525202702536,0.027862449946324,0.02060525851378161
30.3030303030303,0.08487787804053805,0.041793674919486,0.03090788777067242
40.4040404040404,0.1131705040540507,0.055724899892648,0.04121051702756322
50.50505050505051,0.1414631300675634,0.06965612486580999,0.05151314628445403
60.6060606060606,0.1697557560810761,0.083587349838972,0.06181577554134483
70.7070707070707,0.1980483820945888,0.09751857481213398,0.07211840479823564
80.8080808080808,0.2263410081081015,0.111449799785296,0.08242103405512645
90.9090909090909,0.2546336341216142,0.125381024758458,0.09272366331201726
101.010101010101,0.2829262601351268,0.13931224973162,0.1030262925689081
111.1111111111111,0.3112188861486395,0.153243474704782,0.1133289218257989
121.2121212121212,0.3395115121621522,0.167174699677944,0.1236315510826897
131.3131313131313,0.3678041381756649,0.181105924651106,0.1339341803395805
141.4141414141414,0.3960967641891776,0.195037149624268,0.1442368095964713
151.5151515151515,0.4243893902026902,0.20896837459743,0.1545394388533621
161.6161616161616,0.4526820162162029,0.222899599570592,0.1648420681102529
171.7171717171717,0.4809746422297156,0.236830824543754,0.1751446973671437
181.8181818181818,0.5092672682432283,0.250762049516916,0.1854473266240345
191.9191919191919,0.537559894256741,0.264693274490078,0.1957499558809253
202.020202020202,0.5658525202702537,0.27862449946324,0.2060525851378161
212.1212121212121,0.5941451462837664,0.292555724436402,0.2163552143947069
222.2222222222222,0.622437772297279,0.3064869494095639,0.2266578436515977
232.3232323232323,0.6507303983107917,0.320418174382726,0.2369604729084885
242.4242424242424,0.6790230243243044,0.334349399355888,0.2472631021653793
252.5252525252525,0.7073156503378171,0.34828062432905,0.2575657314222701
262.6262626262626,0.7356082763513297,0.362211849302212,0.2678683606791609
272.7272727272727,0.7639009023648424,0.376143074275374,0.2781709899360518
282.8282828282828,0.7921935283783551,0.3900742992485359,0.2884736191929426
292.9292929292929,0.8204861543918678,0.4040055242216979,0.2987762484498334
303.030303030303,0.8487787804053805,0.41793674919486,0.3090788777067242
313.1313131313131,0.8770714064188931,0.431867974168022,0.319381506963615
323.2323232323232,0.9053640324324058,0.445799199141184,0.3296841362205058
333.3333333333333,0.9336566584459185,0.4597304241143459,0.3399867654773966
343.4343434343434,0.9619492844594313,0.473661649087508,0.3502893947342874
353.5353535353535,0.990241910472944,0.48759287406067,0.3605920239911782
363.6363636363636,1.018534536486457,0.501524099033832,0.370894653248069
373.7373737373737,1.046827162499969,0.515455324006994,0.3811972825049598
383.8383838383838,1.075119788513482,0.529386548980156,0.3914999117618507
393.9393939393939,1.103412414526995,0.543317773953318,0.4018025410187415
404.040404040404,1.131705040540507,0.5572489989264799,0.4121051702756323
414.1414141414141,1.15999766655402,0.571180223899642,0.422407799532523
424.2424242424242,1.188290292567533,0.585111448872804,0.4327104287894138
434.3434343434343,1.216582918581045,0.5990426738459659,0.4430130580463046
444.4444444444444,1.244875544594558,0.6129738988191279,0.4533156873031954
454.5454545454545,1.273168170608071,0.6269051237922899,0.4636183165600863
464.6464646464646,1.301460796621583,0.6408363487654519,0.4739209458169771
474.7474747474747,1.329753422635096,0.6547675737386139,0.4842235750738679
484.8484848484848,1.358046048648609,0.668698798711776,0.4945262043307587
494.9494949494949,1.386338674662122,0.682630023684938,0.5048288335876495
505.050505050505,1.414631300675634,0.6965612486581,0.5151314628445403
515.1515151515151,1.442923926689147,0.710492473631262,0.5254340921014311
525.2525252525252,1.471216552702659,0.7244236986044239,0.5357367213583218
