\Delta_\phi,r_fit
0,0.005568984495575646
0.02040816326530612,0.1255789898537961
0.04081632653061224,0.2546649606615872
0.06122448979591837,0.3795693398559078
0.08163265306122448,0.4982412009835552
0.1020408163265306,0.608731955365674
0.1224489795918367,0.7092273478699919
0.1428571428571428,0.7980772469299329
0.163265306122449,0.8738227396593208
0.1836734693877551,0.935220087161636
0.2040816326530612,0.9812611466883121
0.2244897959183673,1.011189925314795
0.2448979591836735,1.024514993323463
0.2653061224489796,1.021017553466006
0.2857142857142857,1.000755033608191
0.3061224489795918,0.9640601437658951
0.3265306122448979,0.9115354130158448
0.3469387755102041,0.8440432959848312
0.3673469387755102,0.762692011368583
0.3877551020408164,0.6688173450114211
0.4081632653061224,0.563960716339626
0.4285714285714285,0.4498438682970689
0.4489795918367346,0.3283405963736798
0.4693877551020408,0.2014459809352999
0.4897959183673469,0.07124362805923741
0.5102040816326531,0.06012854321992175
0.5306122448979591,0.1905134054817522
0.5510204081632653,0.3177700428926001
0.5714285714285714,0.439808904984379
0.5918367346938775,0.5546261170154874
0.6122448979591836,0.6603363835386679
0.6326530612244897,0.7552039449001283
0.6530612244897959,0.837671078365069
0.673469387755102,0.9063836758819223
0.6938775510204082,0.960213478499123
0.7142857142857142,0.9982766023459028
0.7346938775510203,1.019948051981009
0.7551020408163265,1.024871982800574
0.7755102040816327,1.012967543996668
0.7959183673469385,0.984430206125336
0.8163265306122448,0.9397285514854682
0.836734693877551,0.8795965800104069
0.8571428571428571,0.8050216570093346
0.8775510204081631,0.7172283006561947
0.8979591836734693,0.6176580754351267
0.9183673469387754,0.5079459216914923
0.9387755102040816,0.3898933099566068
0.9591836734693878,0.2654386608514159
0.9795918367346939,0.1366255162734935
1,0.005568984495575829
