phi_probe_cycles_down,P_down_fit,phi_probe_cycles_up,P_up_fit
0.098,0.5000001140861539,-0.152,0.4999998859138461
0.1005062656641604,0.5000001145155675,-0.1494937343358396,0.4999998854844325
0.1030125313283208,0.5000001158130987,-0.1469874686716792,0.4999998841869013
0.1055187969924812,0.5000001180069384,-0.1444812030075188,0.4999998819930616
0.1080250626566416,0.5000001211451495,-0.1419749373433584,0.4999998788548505
0.110531328320802,0.500000125297336,-0.139468671679198,0.499999874702664
0.1130375939849624,0.500000130557086,-0.1369624060150376,0.499999869442914
0.1155438596491228,0.5000001370453016,-0.1344561403508772,0.4999998629546984
0.1180501253132832,0.5000001449145702,-0.1319498746867168,0.4999998550854298
0.1205563909774436,0.5000001543547878,-0.1294436090225564,0.4999998456452122
0.123062656641604,0.5000001656003012,-0.126937343358396,0.4999998343996988
0.1255689223057644,0.500000178938921,-0.1244310776942356,0.499999821061079
0.1280751879699248,0.5000001947232506,-0.1219248120300752,0.4999998052767494
0.1305814536340852,0.5000002133849079,-0.1194185463659148,0.4999997866150921
0.1330877192982456,0.5000002354523663,-0.1169122807017544,0.4999997645476337
0.135593984962406,0.5000002615733531,-0.114406015037594,0.4999997384266469
0.1381002506265664,0.5000002925429948,-0.1118997493734336,0.4999997074570052
0.1406065162907268,0.5000003293392337,-0.1093934837092732,0.4999996706607663
0.1431127819548872,0.5000003731674619,-0.1068872180451128,0.4999996268325381
0.1456190476190476,0.5000004255168677,-0.1043809523809524,0.4999995744831323
0.148125313283208,0.5000004882316824,-0.101874686716792,0.4999995117683176
0.1506315789473684,0.5000005636014228,-0.09936842105263158,0.4999994363985772
0.1531378446115288,0.5000006544753758,-0.09686215538847118,0.4999993455246242
0.1556441102756892,0.5000007644080614,-0.09435588972431078,0.4999992355919386
0.1581503759398496,0.500000897844324,-0.09184962406015038,0.499999102155676
0.16065664160401,0.5000010603551627,-0.08934335839598997,0.4999989396448373
0.1631629072681704,0.500001258938571,-0.08683709273182957,0.4999987410614291
0.1656691729323309,0.5000015024037197,-0.08433082706766915,0.4999984975962803
0.1681754385964912,0.500001801862024,-0.08182456140350877,0.499998198137976
0.1706817042606516,0.5000021713553121,-0.07931829573934837,0.4999978286446879
0.1731879699248121,0.500002628659854,-0.07681203007518794,0.499997371340146
0.1756942355889725,0.5000031963159169,-0.07430576441102754,0.4999968036840831
0.1782005012531328,0.5000039029464166,-0.07179949874686717,0.4999960970535834
0.1807067669172932,0.5000047849459055,-0.06929323308270677,0.4999952150540945
0.1832130325814536,0.5000058886435458,-0.06678696741854637,0.4999941113564542
0.185719298245614,0.5000072730720249,-0.06428070175438597,0.4999927269279751
0.1882255639097744,0.5000090135100103,-0.06177443609022557,0.4999909864899897
0.1907318295739349,0.5000112060104266,-0.05926817042606514,0.4999887939895734
0.1932380952380953,0.5000139731825919,-0.05676190476190474,0.4999860268174081
0.1957443609022557,0.5000174715654621,-0.05425563909774433,0.4999825284345379
0.1982506265664161,0.5000219010146227,-0.05174937343358393,0.4999780989853773
0.2007568922305764,0.5000275166303372,-0.04924310776942356,0.4999724833696628
0.2032631578947368,0.5000346438812656,-0.04673684210526316,0.4999653561187344
0.2057694235588972,0.5000436977320099,-0.04423057644110276,0.4999563022679901
0.2082756892230577,0.5000552067659992,-0.04172431077694233,0.4999447932340008
0.2107819548872181,0.5000698435117582,-0.03921804511278193,0.4999301564882418
0.2132882205513785,0.5000884624329782,-0.03671177944862153,0.4999115375670218
