beta_e,delta_em_eff,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,D_z,Y_z,Li7_z,Li_total_z,passes_D,passes_Y,passes_Li7,passes_Li_total,passes_all_direct,passes_all_total
0.8,-0.005520000000000001,2.5137006365981805e-05,0.246814,1.9943566125108342e-10,1.7692880647489755e-10,3.7636446772598096e-10,0.44331211339398596,0.03237113402061945,1.3366342339059167,7.044015087934869,True,True,False,False,False,False
0.9,-0.00621,2.521778797550381e-05,0.2467795,1.7675095083702316e-10,1.5342123717483065e-10,3.301721880118538e-10,0.17404008165397195,0.028814432989692353,0.6048693818394568,5.553941548769478,True,True,True,False,True,False
1.0,-0.0069,2.529882918906704e-05,0.246745,1.566465015625287e-10,1.3292413078503833e-10,2.8957063234756704e-10,0.0960972968901293,0.025257731958762394,0.04366123991842856,4.2442139466957105,True,True,True,False,True,False
1.1,-0.00759,2.538013084094874e-05,0.2467105,1.3882882290350553e-10,1.1506179279959255e-10,2.538906157030981e-10,0.3671028031624655,0.021701030927835294,0.6184250676288537,3.0932456678418734,True,True,True,False,True,False
1.2,-0.00828,2.546169376810722e-05,0.246676,1.2303780727001755e-10,9.950452460150371e-11,2.2254233187152126e-10,0.6389792270240711,0.018144329896908194,1.127812668709111,2.082010705532944,True,True,False,False,False,False
