Pump Power  H,Conversion Efficiency H,Pump Power  V,Conversion Efficiency V,Fit x H,Fit y H,Fit x V,Fit y V
17.3,3.59222686711927,25,5.23032902136684,17.3,3.8189175924044,25,5.45443427068076
36.3,7.5002538983809,47,9.85696822191366,18.0994994994995,3.99139370505327,25.6716716716717,5.59600262086153
58.8,11.5291731799783,65,13.1500467117146,18.898998998999,4.1635188489781,26.3433433433433,5.73731425240109
75.7,15.2965704506453,86,17.0888753787042,19.6984984984985,4.33529344842052,27.015015015015,5.87836944033545
95,18.8197160318584,105,20.389376284335,20.497997997998,4.50671792725707,27.6866866866867,6.01916845949121
115,22.2491084393418,125,23.7888427343624,21.2974974974975,4.67779270899947,28.3583583583584,6.15971158448567
133,25.2886850192119,149,27.48767995619,22.096996996997,4.84851821679481,29.03003003003,6.29999908972697
156,28.9894681927551,164,29.5659563885211,22.8964964964965,5.01889487342584,29.7017017017017,6.44003124941425
179,32.122797946355,186,32.8070779675138,23.695995995996,5.18892310131121,30.3733733733734,6.57980833753768
194,34.2939240748337,205,35.157509646936,24.4954954954955,5.35860332250566,31.0450450450451,6.71933062787868
217,37.0818473989029,226,37.5326827124574,25.294994994995,5.52793595870034,31.7167167167167,6.85859839400999
235,39.2036297517344,246,39.7346660752845,26.0944944944945,5.69692143122302,32.3883883883884,6.99761190929581
258,41.8188498610382,267,41.8376838937149,26.893993993994,5.8655601610383,33.0600600600601,7.13637144689192
274,43.5705538965153,287,43.7922533955501,27.6934934934935,6.03385256874792,33.7317317317317,7.2748772797458
295,45.4209454832869,304,45.1282882449059,28.492992992993,6.20179907459094,34.4034034034034,7.41312968059676
311,46.654539874468,323,46.785961113551,29.2924924924925,6.36940009844402,35.0750750750751,7.55112892197605
338,49.1464005446538,348,48.5673409126921,30.091991991992,6.53665605982164,35.7467467467468,7.68887527620702
355,50.3553230480112,367,49.7796688315519,30.8914914914915,6.70356737787638,36.4184184184184,7.82636901540518
376,51.7616206539576,385,50.9177725921142,31.690990990991,6.87013447139911,37.0900900900901,7.96361041147838
397,53.1925901477277,407,52.0311349665774,32.4904904904905,7.03635775881927,37.7617617617618,8.10059973612691
412,54.0067624459072,425,52.9960490244454,33.28998998999,7.20223765820511,38.4334334334334,8.23733726084362
436,55.0923255101465,443,53.7877733796192,34.0894894894895,7.3677745872639,39.1051051051051,8.37382325691405
456,56.103872910915,465,54.4805321903963,34.888988988989,7.53296896334221,39.7767767767768,8.51005799541654
479,57.1154203116835,487,55.395963476066,35.6884884884885,7.69782120342613,40.4484484484485,8.64604174722239
493,57.4608267412142,506,55.816567039752,36.3,7.8236807278687,41.1201201201201,8.78177478299592
515,58.1022958246283,525,56.2124292173389,36.487987987988,7.86233172414152,41.7917917917918,8.91725737319465
537,58.6944211323952,545,56.4845844644299,37.2874874874875,8.02650094175424,42.4634634634635,9.05248978806939
555,59.0151556741023,565,56.8062224837193,38.086986986987,8.19032927217042,43.1351351351351,9.18747229766439
575,59.3358902158094,585,57.0041535725127,38.8864864864865,8.35381713093666,43.8068068068068,9.32220517181743
592,59.4839215427511,600,57.177343275207,39.685985985986,8.5169649332403,44.4784784784785,9.45668868015994
615,59.7799841966346,625,57.2020846613062,40.4854854854855,8.67977309390965,45.1501501501502,9.59092309211718
632,59.9033436357527,653,57.2515674335045,41.284984984985,8.84224202741425,45.8218218218218,9.72490867690829
655,60.076046850518,677,56.8062224837193,42.0844844844845,9.00437214786506,46.4934934934935,9.85864570354646
672,60.3967813922251,696,56.6577741671242,42.883983983984,9.16616386901476,47,9.95933234758612
695,60.0020311870472,,,43.6834834834835,9.32761760425796,47.1651651651652,9.99213444083903
722,59.9773592992236,,,44.482982982983,9.48873376663145,47.8368368368368,10.1253751573876
816,58.2749990393937,,,45.2824824824825,9.64951276881442,48.5085085085085,10.2583681215882
,,,,46.081981981982,9.80995502312872,49.1801801801802,10.3911136016314
,,,,46.8814814814815,9.9700609415391,49.8518518518519,10.5236118655024
,,,,47.680980980981,10.1298309356534,50.5235235235235,10.655863180981
,,,,48.4804804804805,10.289265416723,51.1951951951952,10.7878678156422
,,,,49.27997997998,10.4483647956426,51.8668668668669,10.9196260368558
,,,,50.0794794794795,10.6071294829511,52.5385385385385,11.0511381117867
,,,,50.878978978979,10.7655598888311,53.2102102102102,11.1824043073952
,,,,51.6784784784785,10.92365642311,53.8818818818819,11.313424890437
,,,,52.477977977978,11.0814194952592,54.5535535535536,11.4442001274629
,,,,53.2774774774775,11.2388495143955,55.2252252252252,11.5747302848199
,,,,54.076976976977,11.3959468892803,55.8968968968969,11.7050156286503
,,,,54.8764764764765,11.5527120283205,56.5685685685686,11.8350564248925
,,,,55.675975975976,11.7091453395684,57.2402402402403,11.9648529392807
,,,,56.4754754754755,11.8652472307223,57.9119119119119,12.0944054373453
,,,,57.274974974975,12.0210181091262,58.5835835835836,12.2237141844129
,,,,58.0744744744745,12.1764583817704,59.2552552552553,12.3527794456065
,,,,58.8,12.3172306925171,59.9269269269269,12.4816014858455
,,,,58.873973973974,12.331568455292,60.5985985985986,12.6101805698458
,,,,59.6734734734735,12.4863487359743,61.2702702702703,12.7385169621203
,,,,60.472972972973,12.6407996297479,61.941941941942,12.8666109269784
,,,,61.2724724724725,12.7949215421906,62.6136136136136,12.9944627285266
,,,,62.071971971972,12.9487148785274,63.2852852852853,13.1220726306685
,,,,62.8714714714715,13.1021800436311,63.956956956957,13.2494408971047
,,,,63.670970970971,13.2553174420224,64.6286286286286,13.3765677913334
,,,,64.4704704704705,13.4081274778701,65,13.4467535016809
,,,,65.26996996997,13.5606105549914,65.3003003003003,13.5034535766499
,,,,66.0694694694695,13.7127670768521,65.971971971972,13.6300985161475
,,,,66.868968968969,13.8645974465668,66.6436436436437,13.7565028727166
,,,,67.6684684684685,14.0161020668994,67.3153153153153,13.8826669090458
,,,,68.467967967968,14.1672813402627,67.986986986987,14.0085908876215
,,,,69.2674674674675,14.3181356687195,68.6586586586587,14.1342750707282
,,,,70.066966966967,14.4686654539821,69.3303303303303,14.2597197204483
,,,,70.8664664664665,14.618871097413,70.002002002002,14.3849250986628
,,,,71.665965965966,14.7687530000248,70.6736736736737,14.5098914670509
,,,,72.4654654654655,14.9183115624806,71.3453453453454,14.6346190870903
,,,,73.264964964965,15.0675471850945,72.017017017017,14.7591082200574
,,,,74.0644644644645,15.2164602678313,72.6886886886887,14.8833591270273
,,,,74.863963963964,15.365051210307,73.3603603603604,15.0073720688741
,,,,75.6634634634635,15.5133204117893,74.032032032032,15.1311473062707
,,,,75.7,15.5200885236431,74.7037037037037,15.2546850996893
,,,,76.462962962963,15.6612682711973,75.3753753753754,15.3779857094011
,,,,77.2624624624625,15.808895187102,76.0470470470471,15.5010493954768
,,,,78.061961961962,15.9562015577268,76.7187187187187,15.6238764177867
,,,,78.8614614614615,16.1031877809473,77.3903903903904,15.7464670360004
,,,,79.660960960961,16.2498542542917,78.0620620620621,15.8688215095873
,,,,80.4604604604605,16.3962013749412,78.7337337337337,15.9909400978167
,,,,81.25995995996,16.5422295397297,79.4054054054054,16.1128230597579
,,,,82.0594594594595,16.687939145145,80.0770770770771,16.2344706542802
,,,,82.858958958959,16.8333305873279,80.7487487487488,16.3558831400529
,,,,83.6584584584585,16.9784042620734,81.4204204204204,16.4770607755459
,,,,84.457957957958,17.1231605648301,82.0920920920921,16.5980038190294
,,,,85.2574574574575,17.2675998907013,82.7637637637638,16.718712528574
,,,,86.056956956957,17.4117226344444,83.4354354354355,16.8391871620512
,,,,86.8564564564565,17.5555291904718,84.1071071071071,16.9594279771331
,,,,87.655955955956,17.6990199528506,84.7787787787788,17.0794352312929
,,,,88.4554554554555,17.8421953153033,85.4504504504505,17.1992091818046
,,,,89.254954954955,17.9850556712078,86,17.2970326983965
,,,,90.0544544544545,18.1276014135974,86.1221221221221,17.3187500857433
,,,,90.853953953954,18.2698329351615,86.7937937937938,17.4380581999857
,,,,91.6534534534535,18.4117506282457,87.4654654654655,17.5571337812095
,,,,92.452952952953,18.5533548848516,88.1371371371371,17.6759770858941
,,,,93.2524524524525,18.6946460966378,88.8088088088088,17.7945883703204
,,,,94.051951951952,18.8356246549194,89.4804804804805,17.9129678905711
,,,,94.8514514514515,18.9762909506686,90.1521521521522,18.0311159025307
,,,,95,19.0023926514918,90.8238238238238,18.1490326618857
,,,,95.650950950951,19.116645374515,91.4954954954955,18.2667184241246
,,,,96.4504504504505,19.2566883167455,92.1671671671672,18.3841734445383
,,,,97.24994994995,19.3964201673051,92.8388388388389,18.5013979782198
,,,,98.0494494494495,19.5358413157963,93.5105105105105,18.6183922800647
,,,,98.848948948949,19.67495215148,94.1821821821822,18.7351566047709
,,,,99.6484484484485,19.8137530632758,94.8538538538539,18.8516912068394
,,,,100.447947947948,19.9522444397616,95.5255255255255,18.9679963405735
,,,,101.247447447447,20.0904266691742,96.1971971971972,19.0840722600798
,,,,102.046946946947,20.2283001394098,96.8688688688689,19.1999192192678
,,,,102.846446446446,20.3658652380237,97.5405405405406,19.31553747185
,,,,103.645945945946,20.5031223522309,98.2122122122122,19.4309272713423
,,,,104.445445445445,20.6400718689062,98.8838838838839,19.5460888710641
,,,,105.244944944945,20.7767141745845,99.5555555555556,19.661022524138
,,,,106.044444444444,20.9130496554608,100.227227227227,19.7757284834904
,,,,106.843943943944,21.0490786973909,100.898898898899,19.8902070018514
,,,,107.643443443443,21.1848016858909,101.570570570571,20.0044583317551
,,,,108.442942942943,21.3202190061384,102.242242242242,20.1184827255392
,,,,109.242442442442,21.4553310429718,102.913913913914,20.2322804353458
,,,,110.041941941942,21.590138180891,103.585585585586,20.3458517131212
,,,,110.841441441441,21.7246408040576,104.257257257257,20.4591968106158
