N,MIN_NEUTRON,Cint_n,lambda_pred,|Cn|,eps
40,20,1.069480932588603,1848.063051513106,111,-0.006486594384263953
40,21,1.0585658049342888,1829.201710926451,105,0.0037856127447305414
40,22,1.058585816442411,1829.236290812486,93,0.0037667799501994474
40,23,1.0671943322765978,1844.111806173961,82,-0.00433467891703097
40,24,1.0084026655788307,1742.5198061202195,67,0.05099405354534793
40,25,1.014014780697867,1752.2175410459142,64,0.04571250203626265
40,26,1.0087631321498742,1743.1426923549827,52,0.05065481909953053
40,27,0.9618536871010267,1662.0831713105742,44,0.09480121400289061
40,28,0.9414965301049262,1626.9060040213124,36,0.11395929807154104
40,29,0.9244036011082846,1597.3694227151157,32,0.1300454230034192
40,30,0.9186736013465614,1587.4679831268581,24,0.1354379155390648
40,31,1.0456483169249187,1806.8802916462594,22,0.01594223762543955
40,32,1.3049443693837302,2254.9438702950856,16,-0.22808081395424015
40,33,0.867520933047542,1499.0761723061526,13,0.1835776002600756
40,34,0.9944691322366573,1718.442660504944,8,0.06410687687297828
40,35,0.8519571113833417,1472.1818884704146,5,0.19822468501406876
45,26,1.0341412085597366,1786.9960083912247,102,0.026771556743499944
45,29,0.9889548408179318,1708.9139649333863,73,0.06929636667252229
45,33,0.9338354502180497,1613.66765797679,41,0.12116912666192516
50,20,1.1173042960920327,1930.7018236470326,237,-0.051493076311962975
50,21,1.115897975990032,1928.2717025107754,231,-0.05016959097721201
50,22,1.107754182861868,1914.199227985308,218,-0.042505481818111396
50,23,1.1162931136104786,1928.9545003189069,205,-0.05054145428566169
50,24,1.0927133632933903,1888.2086917709785,187,-0.028350593401742955
50,25,1.0997583386588459,1900.3824092024856,183,-0.034980607128061475
50,26,1.0669292765202185,1843.6537898269376,165,-0.004085235418384915
50,27,1.0651407785006255,1840.5632652490808,150,-0.0024020831283799245
50,28,1.0642500605503615,1839.0241046310248,135,-0.0015638300571931881
50,29,1.0511888707150452,1816.454368595598,128,0.010728032355103629
50,30,1.0415461654076805,1799.7917738244719,112,0.0198027650873363
50,31,1.0464960361189286,1808.3451504135087,106,0.015144450606920042
50,32,1.0347358570735996,1788.02356102318,91,0.026211934089802838
50,33,0.9960412475250784,1721.1592757233354,84,0.06262736198458055
50,34,0.9775533236449087,1689.2121432584022,73,0.08002631410834449
