epsilon,delta_em,pi_cosmo,G_eff_cosmo,F_temps_cosmo,omega_m_eff,H_ratio_z0,H_ratio_z05,H_ratio_z1,H_ratio_z2,DA_rec,DL_z0_5,DL_z1,f_sigma8_proxy_z0,f_sigma8_proxy_z05,f_sigma8_proxy_z1,first_peak_shift,chi_sn,chi_bao,chi_cmb,chi_growth,chi_total,passes_bbn,passes_cosmo,passes_all
-0.0076,-0.0076,0.0,1.0,1.0,0.315,1.0,1.0,1.0,1.0,10.38260259907672,2926.835983374479,6801.690289107283,0.5297498038588546,0.7606879137410921,0.8761225909176094,0.0,0.0,2222.2222222222226,5.535026856094648,32.86116290607792,2260.618411984395,True,False,False
-0.0076,-0.0076,0.01,1.000912,0.9993164675362053,0.31550293649952,1.0011402079123006,1.0011402079123004,1.0011402079123004,1.0011402079123006,10.370777756222363,2923.502582598171,6793.94378065286,0.5297944541798533,0.7607155160136152,0.8761379612781439,0.0006839999999999069,0.005778107036767573,2222.2308696518003,5.598191076293177,32.86563370384367,2260.700472538974,True,False,False
-0.0076,-0.0076,0.03,1.002736,0.9979522020813292,0.31650998849567996,1.0034218707844105,1.0034218707844103,1.0034218707844105,1.0034218707844105,10.347195831958766,2916.854882868426,6778.495154575573,0.5298837661123155,0.7607707235634203,0.8761687028081728,0.0020519999999999428,0.0520408874008959,2222.299752051397,5.732212915476184,32.874578549567,2260.958584403841,True,False,False
-0.0076,-0.0076,0.1,1.00912,0.9932064677605181,0.320047049952,1.0114207699492195,1.0114207699492195,1.0114207699492197,1.0114207699492195,10.26536423569589,2893.7867110652937,6724.886902855259,0.5301964764591255,0.7609639815415262,0.8762763066578506,0.006839999999999957,0.5797066054799821,2223.0722551951867,6.281898566798784,32.90591965697271,2262.8397800244384,True,False,False
-0.0075,-0.0075,0.0,1.0,1.0,0.315,1.0,1.0,1.0,1.0,10.38260259907672,2926.835983374479,6801.690289107283,0.5297498038588546,0.7606879137410921,0.8761225909176094,0.0,0.0,2222.2222222222226,5.535026856094648,32.86116290607792,2260.618411984395,True,False,False
-0.0075,-0.0075,0.01,1.0009,0.9993254553176606,0.3154963163625,1.001125202477224,1.0011252024772237,1.001125202477224,1.0011252024772237,10.370933199349695,2923.5464017209842,6794.045612154122,0.529793866651197,0.7607151528193163,0.8761377590348072,0.0006749999999999812,0.0056270249544470834,2222.2306437970383,5.597343311427563,32.865574870524284,2260.6991890039444,True,False,False
-0.0075,-0.0075,0.03,1.0027,0.9979790923380156,0.31649009726249994,1.0033768218853212,1.0033768218853212,1.003376821885321,1.0033768218853212,10.347660392999774,2916.985841744902,6778.799490631119,0.5298820032311676,0.7607696339019695,0.8761680960570143,0.0020249999999999435,0.050679671311927604,2222.297730909396,5.72946857961344,32.87440196463029,2260.9522811249512,True,False,False
-0.0075,-0.0075,0.1,1.009,0.9932952570151478,0.31998038624999997,1.0112702272698924,1.0112702272698926,1.0112702272698924,1.0112702272698924,10.266892388502768,2894.217494443598,6725.888002724736,0.5301905967435793,0.7609603484200749,0.8762742839072357,0.006750000000000034,0.5645245454001178,2223.0502399707275,6.270411934601077,32.90533004830677,2262.790506499036,True,False,False
-0.0074,-0.0074,0.0,1.0,1.0,0.315,1.0,1.0,1.0,1.0,10.38260259907672,2926.835983374479,6801.690289107283,0.5297498038588546,0.7606879137410921,0.8761225909176094,0.0,0.0,2222.2222222222226,5.535026856094648,32.86116290607792,2260.618411984395,True,False,False
-0.0074,-0.0074,0.01,1.000888,0.9993344432607882,0.31548969629352,1.001110197114123,1.001110197114123,1.001110197114123,1.001110197114123,10.371088646391184,2923.5902219471955,6794.147446219569,0.5297932791231923,0.7607147896251908,0.8761375567915173,0.0006660000000000554,0.005477945032030964,2222.2304209253125,5.596495990647555,32.865516037392474,2260.6979108983846,True,False,False
-0.0074,-0.0074,0.03,1.002664,0.9980059840438804,0.31647020664167996,1.0033317736335765,1.0033317736335767,1.0033317736335765,1.0033317736335767,10.34812498908115,2917.116810499196,6779.10384964177,0.5298802403558847,0.7607685442420793,0.8761674893062759,0.0019979999999999443,0.04933651353509484,2222.2957363118553,5.726728235453088,32.87422538138217,2260.946026442226,True,False,False
